"","geneID","order","baseMean","log2FC","padj","likes","Condition","FDR.Condition","FWER.Condition"
"ACT30349-1","ACT30349-1","3223",1.45753724763836,0.674381042637061,0.00271276808799898,0.986430500015774,"control>transient>paraquat",0.00271276808799898,0.129638470734186
"ACT31032-1","ACT31032-1","3901",0.0773845928660593,0.372064997114696,0.00295391728161628,0.984747473843901,"control>transient>paraquat",0.00295391728161628,0.142913682724575
"ACT27462-1","ACT27462-1","365",1.66921047229249,2.31103499568238,0.00322233558101877,0.982819912850052,"control>transient>paraquat",0.00322233558101877,0.157638500350395
"ACT28368-1","ACT28368-1","1305",41.0041679191519,0.963716308056274,0.00348243088136526,0.982732518200271,"control>transient>paraquat",0.00348243088136526,0.172183962214387
"ACT27857-1","ACT27857-1","771",0.765570440872289,1.72649323333266,0.00375555096052296,0.981495964764961,"control>transient>paraquat",0.00375555096052296,0.187501899345702
"ACT30164-1","ACT30164-1","3040",1.40308522230699,1.14109014068369,0.00401955037723352,0.981460481703685,"control>transient>paraquat",0.00401955037723352,0.202565222748503
"ACT27633-1","ACT27633-1","547",1.55414788133664,1.20646070915831,0.00428340558861631,0.980940702573948,"control>transient>paraquat",0.00428340558861631,0.217763769346017
"ACT31114-1","ACT31114-1","3992",0.646686443701475,0.724363884902709,0.00453972057389541,0.980850325265196,"control>transient>paraquat",0.00453972057389541,0.23274333872882
"ACT31115-1","ACT31115-1","3993",0.0384383953502635,1.20228179463848,0.00479617389336895,0.980329533577166,"control>transient>paraquat",0.00479617389336895,0.247835635122051
"ACT31277-1","ACT31277-1","4169",1.4683066852833,1.70117255086505,0.00505024004819534,0.979959856817047,"control>transient>paraquat",0.00505024004819534,0.262909116691319
"ACT27538-1","ACT27538-1","440",1.69355235886836,1.06030636904074,0.0053242802372318,0.978233308420581,"control>transient>paraquat",0.0053242802372318,0.278953146614301
"ACT31026-1","ACT31026-1","3893",2.07526836575928,1.4190343025923,0.00559427670942023,0.977935938487086,"control>transient>paraquat",0.00559427670942023,0.294862368741097
"EBG00001118716-1","EBG00001118716-1","4024",1.03452952687515,0.376391075638919,0.00591028856190493,0.974496976584043,"transient>paraquat>control",0.00591028856190493,0.312845510262565
"ACT29640-1","ACT29640-1","2546",0.437112296045768,0.69866061308303,0.00623578453938482,0.973257968879382,"control>transient>paraquat",0.00623578453938482,0.331221417011796
"ACT27803-1","ACT27803-1","715",1.36657252339537,0.533062989539201,0.00656162997041055,0.972584262443943,"control>transient>paraquat",0.00656162997041055,0.349556475126112
"ACT28823-1","ACT28823-1","1754",3.46391214339297,1.19073449204629,0.00688235946201806,0.972270223583494,"control>transient>paraquat",0.00688235946201806,0.367593128642429
"ACT31040-1","ACT31040-1","3913",0.804176099773305,0.891903487464708,0.00720533742819956,0.971478116803821,"control>transient>paraquat",0.00720533742819956,0.38563056355975
"ACT27351-1","ACT27351-1","258",8.51238696807329,0.548755170796884,0.00751957877236619,0.97142625116847,"control>transient>paraquat",0.00751957877236619,0.403185401526363
"ACT29438-1","ACT29438-1","2354",12.9378414407594,0.820606338897731,0.00783501009983954,0.970715659631972,"control>transient>paraquat",0.00783501009983954,0.420662723364673
"ACT30220-1","ACT30220-1","3098",4.49276054143603,0.479508513885865,0.00816011837316089,0.969407410767666,"control>transient>paraquat",0.00816011837316089,0.438386150695756
"ACT30286-1","ACT30286-1","3164",12.5731797785263,0.641215353938033,0.00848107566714432,0.969051913754015,"control>transient>paraquat",0.00848107566714432,0.455767024540963
"ACT30534-1","ACT30534-1","3413",19.0200499591362,0.733510521432018,0.00882883412470495,0.96648031538849,"control>transient>paraquat",0.00882883412470495,0.474009542233534
"ACT30853-1","ACT30853-1","3725",11.4270535801108,0.625699745583228,0.00918070564205299,0.965484545108888,"control>transient>paraquat",0.00918070564205299,0.492164342151727
"ACT29611-1","ACT29611-1","2517",5.00455022758992,0.538023536349031,0.0095283880137963,0.965090798848942,"control>transient>paraquat",0.0095283880137963,0.509892479283232
"ACT27802-1","ACT27802-1","714",0.896936494546692,1.17167462748528,0.00987128135223683,0.964754611603164,"control>transient>paraquat",0.00987128135223683,0.527166509207105
"ACT28354-1","ACT28354-1","1291",1.11677464380656,5.47477350021562,0.0102063001993557,0.964667286266732,"control>transient>paraquat",0.0102063001993557,0.543872999580792
"ACT30214-1","ACT30214-1","3090",1.19589005255747,2.66275272862357,0.0105367814597734,0.964346642748476,"control>transient>paraquat",0.0105367814597734,0.560135458478805
"ACT28260-1","ACT28260-1","1201",1.05041625415787,1.85589881611201,0.0108742002790399,0.963144550637442,"control>transient>paraquat",0.0108742002790399,0.576346863815224
"ACT29103-1","ACT29103-1","2036",1.90092907957795,1.4054424199138,0.0112080796738074,0.962749327534325,"control>paraquat>transient",0.0112080796738074,0.592128228030299
"ACT30629-1","ACT30629-1","3508",0.469330177498058,0.165139266332567,0.0115346065722581,0.962669768450137,"control>transient>paraquat",0.0115346065722581,0.60735417572058
"ACT31022-1","ACT31022-1","3889",0.427386166645307,1.24606615433163,0.0118537415292581,0.96261546191074,"control>transient>paraquat",0.0118537415292581,0.622033058493943
"ACT27855-1","ACT27855-1","769",1.56038650052856,1.17549307938699,0.0121660138361248,0.962539929307674,"control>transient>paraquat",0.0121660138361248,0.636191726842123
"ACT29468-1","ACT29468-1","2383",3.26640881041963,0.944305253215731,0.0124745395831016,0.962226349164801,"control>paraquat>transient",0.0124745395831016,0.649934093523345
"ACT30438-1","ACT30438-1","3313",9.80649648884523,0.774179115118054,0.012793770743495,0.960710042943855,"control>transient>paraquat",0.012793770743495,0.663688167955633
"ACT29598-1","ACT29598-1","2507",0.881755964933229,0.330248757028336,0.0131106368444156,0.960272610678253,"control>transient>paraquat",0.0131106368444156,0.67704895904077
"ACT30585-1","ACT30585-1","3462",4.30705497105281,0.531760458711519,0.0134267276416355,0.959705554594679,"paraquat>transient>control",0.0134267276416355,0.690062092129293
"ACT30692-1","ACT30692-1","3572",5.05563503357078,0.981284252605021,0.0137462569802454,0.958774219899297,"control>paraquat>transient",0.0137462569802454,0.702839524164043
"ACT27528-1","ACT27528-1","430",0.816690113493109,1.24310777358636,0.014113527068186,0.953933975280982,"control>transient>paraquat",0.014113527068186,0.716528525989417
"ACT29530-1","ACT29530-1","2440",0.903180508732056,0.895340536655466,0.0144846186932244,0.952859318303401,"control>transient>paraquat",0.0144846186932244,0.729891564515816
"ACT28902-1","ACT28902-1","1835",1.50750078795045,0.709654651870135,0.0148613718321791,0.951607598800845,"control>transient>paraquat",0.0148613718321791,0.742962760293043
"ACT29814-1","ACT29814-1","2714",2.18290169417623,1.30373671011652,0.0152302348598807,0.951572092646978,"control>transient>paraquat",0.0152302348598807,0.755410535923848
"ACT27195-1","ACT27195-1","113",1.60400549585535,0.831110095616615,0.0156680218193878,0.944493364865465,"control>transient>paraquat",0.0156680218193878,0.768986874064074
"ACT27479-1","ACT27479-1","382",3.54664829756085,0.862326254118911,0.0161022485172497,0.943948895279456,"control>transient>paraquat",0.0161022485172497,0.781935414977729
"ACT28492-1","ACT28492-1","1430",19.925164097047,0.911301135315161,0.0165310436781727,0.943591006355993,"control>transient>paraquat",0.0165310436781727,0.794236218768233
"ACT27526-1","ACT27526-1","428",0.594903215872158,0.218232725174417,0.0169555718512232,0.943138779882029,"control>transient>paraquat",0.0169555718512232,0.805936198425159
"ACT27938-1","ACT27938-1","856",1.28085939374163,1.14875064935912,0.0173715447664983,0.943111028282362,"control>transient>paraquat",0.0173715447664983,0.816976288544367
"ACT27682-1","ACT27682-1","601",1.51394082686016,2.51220613510467,0.0177841405156588,0.942606667564938,"control>transient>paraquat",0.0177841405156588,0.827480629259439
"ACT31059-1","ACT31059-1","3939",1.7567082438716,1.70361040745524,0.0182093858431188,0.940541817393257,"control>transient>paraquat",0.0182093858431188,0.837738317508132
"ACT30186-1","ACT30186-1","3063",1.80390067446266,0.603296021941676,0.018628126906327,0.940335248899272,"control>transient>paraquat",0.018628126906327,0.847419620407195
"ACT29951-1","ACT29951-1","2842",2.36269522793675,1.62459453348397,0.0190732390972141,0.936860654004962,"control>transient>paraquat",0.0190732390972141,0.857053445786359
"ACT27305-1","ACT27305-1","214",21.5707126494737,2.27883727926638,0.019541536672535,0.933628705795382,"control>transient>paraquat",0.019541536672535,0.866540993591609
"ACT27319-1","ACT27319-1","227",5.45885477783024,0.673646092961724,0.0200206471599998,0.931589193606049,"control>paraquat>transient",0.0200206471599998,0.875671031840543
"ACT29034-1","ACT29034-1","1968",7.21271806411905,0.668745995234826,0.0204941577378727,0.931207763319094,"transient>control>paraquat",0.0204941577378727,0.884223899644461
"ACT27644-1","ACT27644-1","563",3.02776270921907,0.758387834531151,0.0209926441828903,0.927663251980297,"control>paraquat>transient",0.0209926441828903,0.892598766242583
"ACT29049-1","ACT29049-1","1983",2.83908416511493,0.725604718155428,0.0215049288293552,0.9252174679383,"control>transient>paraquat",0.0215049288293552,0.900630502449513
"ACT30450-1","ACT30450-1","3325",23.8053961603712,1.4040306824073,0.0220438182830251,0.921372789081633,"control>transient>paraquat",0.0220438182830251,0.908443648892268
"ACT30215-1","ACT30215-1","3091",2.67290471843778,0.810117467425114,0.0226060956527013,0.917792503161625,"paraquat>transient>control",0.0226060956527013,0.91597026733649
"ACT27560-1","ACT27560-1","472",7.10158938571509,1.07654827353013,0.0231629023213764,0.917258784130387,"control>paraquat>transient",0.0231629023213764,0.922922989586267
"ACT29437-1","ACT29437-1","2353",3.57627429153497,0.761719806784753,0.0237187042976814,0.916254682261373,"control>transient>paraquat",0.0237187042976814,0.929377828313709
"ACT30798-1","ACT30798-1","3676",10.3127272247491,0.640513743740559,0.0242657386988824,0.916107511570211,"control>transient>paraquat",0.0242657386988824,0.935302498034787
"ACT28011-1","ACT28011-1","935",9.03324065635347,0.82168416745905,0.0248095743783313,0.915368500882292,"control>transient>paraquat",0.0248095743783313,0.940777944615274
"ACT30003-1","ACT30003-1","2895",14.6658387165824,0.672643934636182,0.0253441117848527,0.915322236091272,"control>transient>paraquat",0.0253441117848527,0.945792735839332
"ACT30442-1","ACT30442-1","3317",2.74419068776928,0.565296980266162,0.0258821346934759,0.913859299540724,"control>transient>paraquat",0.0258821346934759,0.950462187544113
"ACT28578-1","ACT28578-1","1506",4.94883792434132,0.461003582776003,0.0264152619426119,0.913341358905013,"control>paraquat>transient",0.0264152619426119,0.954755067054358
"ACT29664-1","ACT29664-1","2570",0.982932509139976,0.505258567497443,0.0269593061125991,0.91101965850887,"control>transient>paraquat",0.0269593061125991,0.958780976638605
"ACT27381-1","ACT27381-1","287",1.62596955157406,0.452412296933261,0.0275205853556374,0.907932301694954,"paraquat>transient>control",0.0275205853556374,0.96257591724587
"ACT27902-1","ACT27902-1","819",1.94055742992674,0.517296138437712,0.0280869526082767,0.906214446085567,"control>transient>paraquat",0.0280869526082767,0.966085755576706
"ACT29812-1","ACT29812-1","2712",0.502910176398175,0.526908215502297,0.0286934508275792,0.90034625751403,"control>transient>paraquat",0.0286934508275792,0.969465436957071
"ACT29102-1","ACT29102-1","2035",6.17132467624732,0.793138439119529,0.0293058643362771,0.898429341637367,"control>transient>paraquat",0.0293058643362771,0.972566852628157
"ACT28504-1","ACT28504-1","1442",28.2257146874186,1.37206914052163,0.0299083333351628,0.898397855797434,"control>transient>paraquat",0.0299083333351628,0.975354119223361
"ACT28936-1","ACT28936-1","1867",1.105053694729,0.715998038886118,0.0305022906159227,0.898222835692893,"control>paraquat>transient",0.0305022906159227,0.977862507080658
"ACT31273-1","ACT31273-1","4165",14.5482898418537,0.920997304284958,0.0311038351715143,0.896109273601898,"control>transient>paraquat",0.0311038351715143,0.980162387300682
"ACT28401-1","ACT28401-1","1340",6.14448383103739,0.599026715666217,0.0316974082789465,0.895886672614324,"control>transient>paraquat",0.0316974082789465,0.982227747166196
"ACT28861-1","ACT28861-1","1793",1.18047295249585,0.774933579662706,0.0322990847045449,0.89369471494686,"control>transient>paraquat",0.0322990847045449,0.98411703156973
"ACT27150-1","ACT27150-1","68",0.731657662714902,1.29945599646756,0.0329333718556364,0.888415021409013,"control>transient>paraquat",0.0329333718556364,0.985889332261983
"ACT28032-1","ACT28032-1","955",0.372908439157502,0.446470921245246,0.0335714539575507,0.886668283303163,"control>transient>paraquat",0.0335714539575507,0.987488518460471
"ACT28908-1","ACT28908-1","1841",0.149480626457549,0.390367090259955,0.0342247888620274,0.883455013173906,"control>transient>paraquat",0.0342247888620274,0.98894666891167
"ACT28433-1","ACT28433-1","1372",0.895338264181377,0.595625695970285,0.0348864823095258,0.881078449858184,"control>transient>paraquat",0.0348864823095258,0.990261148178925
"ACT29864-1","ACT29864-1","2763",2.54735852184961,1.13081978709034,0.0355570860559197,0.878605634405655,"control>transient>paraquat",0.0355570860559197,0.991443389917362
"ACT30848-1","ACT30848-1","3720",0.80324812044005,0.698709027844213,0.0362365214351235,0.876116314647584,"control>transient>paraquat",0.0362365214351235,0.992503414308523
"ACT30793-1","ACT30793-1","3671",0.144433605412929,0.409595104876763,0.036977708865689,0.866667925160806,"control>transient>paraquat",0.036977708865689,0.993502949632977
"ACT27409-1","ACT27409-1","315",2.83201906660734,0.618232673911598,0.0377172248412036,0.865406182366376,"control>transient>paraquat",0.0377172248412036,0.994377412445233
"ACT30475-1","ACT30475-1","3352",11.7716460960622,1.37086951715288,0.0384585884845521,0.863681410593451,"control>transient>paraquat",0.0384585884845521,0.995143875649514
"ACT27510-1","ACT27510-1","412",0.221144439564053,1.01177755213243,0.0392150619050292,0.860173973171514,"control>transient>paraquat",0.0392150619050292,0.995822888223227
"ACT30448-1","ACT30448-1","3323",1.59671221406337,0.540735067610635,0.0399833907171539,0.857060548458132,"control>transient>paraquat",0.0399833907171539,0.996419962289628
"ACT30964-1","ACT30964-1","3828",1.40760218339825,0.621616323653727,0.0407437121388029,0.856612895938588,"control>transient>paraquat",0.0407437121388029,0.996933293529349
"ACT30210-1","ACT30210-1","3086",0.285792110267055,0.11470809963958,0.0414985411228649,0.855844717044696,"control>transient>paraquat",0.0414985411228649,0.997375375468367
"ACT28367-1","ACT28367-1","1304",5.69637883441638,0.749114085196736,0.042257184377982,0.853808689670979,"control>transient>paraquat",0.042257184377982,0.997759072767768
"ACT27168-1","ACT27168-1","86",0.333434326132706,0.970527676316778,0.0430194218185759,0.85179181137947,"control>transient>paraquat",0.0430194218185759,0.998091196533687
"ACT31052-1","ACT31052-1","3932",0.290232506061356,0.766250628556614,0.0437836001217161,0.849995615741791,"control>transient>paraquat",0.0437836001217161,0.998377525422321
"ACT29533-1","ACT29533-1","2443",0.279777576291544,2.60674798933717,0.0445563535644914,0.847258164446972,"control>paraquat>transient",0.0445563535644914,0.998625345167454
"ACT31210-1","ACT31210-1","4092",0.498215385261872,0.813600588418864,0.0453271106450222,0.845996141000139,"paraquat>transient>control",0.0453271106450222,0.998837047316459
"ACT29569-1","ACT29569-1","2480",0.201521165442239,1.14900127339116,0.0460914246306443,0.845375989411006,"control>transient>paraquat",0.0460914246306443,0.999016867724513
"ACT28828-1","ACT28828-1","1759",0.188448970047366,0.7113313413222,0.0468495180218369,0.844743127037624,"control>transient>paraquat",0.0468495180218369,0.999169505767314
"ACT27488-1","ACT27488-1","391",0.100926416489665,1.1449517291329,0.0476286448714997,0.840177088777052,"paraquat>transient>control",0.0476286448714997,0.999302237773336
"ACT27954-1","ACT27954-1","874",0.0837191219508572,0,0.0484067281419007,0.838771197649966,"control>transient>paraquat",0.0484067281419007,0.999414737141466
"ACT30962-1","ACT30962-1","3827",0.0581532992121451,0.564572999099421,0.0491852896288003,0.837144733283857,"control>transient>paraquat",0.0491852896288003,0.999510050280391
"ACT29966-1","ACT29966-1","2857",0.163511264339516,0.656372836540402,0.0499704518517725,0.834610701371315,"control>transient>paraquat",0.0499704518517725,0.999591082720881
"ACT30096-1","ACT30096-1","2987",2.19287134532236,0.991493923278502,0.0507654390000542,0.831576463054255,"control>transient>paraquat",0.0507654390000542,0.999659954015348
"ACT31212-1","ACT31212-1","4094",1.35906411211999,0.801739561057065,0.0515651425705895,0.82927902541964,"control>transient>paraquat",0.0515651425705895,0.99971800699725
"ACT29641-1","ACT29641-1","2547",12.4386126879257,0.709612876037346,0.052361731846839,0.828149876715738,"control>paraquat=transient",0.052361731846839,0.999766467529538
"ACT27880-1","ACT27880-1","794",1.34436350393135,0.638046537414495,0.0531520646971862,0.827507674900395,"control>transient>paraquat",0.0531520646971862,0.999806750088354
"ACT27663-1","ACT27663-1","583",2.87888969850054,0.905436699710696,0.0539386110167875,0.826506348403807,"control>transient>paraquat",0.0539386110167875,0.999840277721196
"ACT28857-1","ACT28857-1","1789",3.50606108005756,1.11999803928678,0.0547211424070489,0.825551554882954,"control>transient>paraquat",0.0547211424070489,0.999868141024384
"ACT28131-1","ACT28131-1","1059",0.460847660141492,1.77785185986003,0.0555058476311448,0.823649547858089,"control>transient>paraquat",0.0555058476311448,0.999891394414353
"ACT29033-1","ACT29033-1","1967",0.371706429352726,3.39441383069322,0.0562851606149541,0.822921326894602,"control>transient>paraquat",0.0562851606149541,0.999910626147351
"ACT28943-1","ACT28943-1","1874",1.19071722212211,0.780363269403211,0.0570808052424124,0.818798632874096,"control>transient>paraquat",0.0570808052424124,0.999926820811637
"ACT29643-1","ACT29643-1","2549",2.22562197535764,0.527480237423548,0.057868859872749,0.81840656316441,"control>paraquat>transient",0.057868859872749,0.999940109671956
"ACT31249-1","ACT31249-1","4135",0.46270474148543,0.508651194142576,0.0586476439927319,0.818304465049973,"paraquat>transient>control",0.0586476439927319,0.999950991477148
"ACT27537-1","ACT27537-1","439",0.737055430023629,1.41081841373296,0.05942248133611,0.817378381066761,"control>transient>paraquat",0.05942248133611,0.999959941492933
"ACT27154-1","ACT27154-1","72",3.51886926484457,0.933825827509365,0.060190132991993,0.816985602066726,"control>transient>paraquat",0.060190132991993,0.999967272776486
"ACT28836-1","ACT28836-1","1767",10.20938217266,1.0637755023504,0.0609634315059593,0.814535507745479,"control>transient>paraquat",0.0609634315059593,0.999973342514378
"ACT30295-1","ACT30295-1","3173",0.927347302444976,2.24581141038165,0.061768383979475,0.807829315310974,"control>transient>paraquat",0.061768383979475,0.999978465301642
"ACT28245-1","ACT28245-1","1188",7.33449207566259,1.19808526552989,0.0625691950006614,0.806898608545957,"control>transient>paraquat",0.0625691950006614,0.99998262368186
"ACT28342-1","ACT28342-1","1277",0.986103073532266,0.517089979712671,0.0633964308337274,0.800936892543449,"control>transient>paraquat",0.0633964308337274,0.999986082665745
"ACT29668-1","ACT29668-1","2574",6.00330165266333,0.986616929803888,0.0642362233881992,0.797198005123943,"control>transient>paraquat",0.0642362233881992,0.999988905128895
"ACT28332-1","ACT28332-1","1265",3.65537923900873,0.461462697832711,0.0650701233365533,0.796502485236683,"control>transient>paraquat",0.0650701233365533,0.999991162907591
"ACT29040-1","ACT29040-1","1974",1.41527596508159,0.756322087491016,0.0659079537814329,0.794174361923674,"control>transient>paraquat",0.0659079537814329,0.999992981807775
"ACT29558-1","ACT29558-1","2469",0.96232023939381,1.30659750810356,0.066751089464094,0.791602115848828,"control>transient>paraquat",0.066751089464094,0.999994444384185
"ACT29928-1","ACT29928-1","2815",0.753279782011169,1.05601433240452,0.0676245833217667,0.784754954731548,"control>transient>paraquat",0.0676245833217667,0.999995640202963
"ACT28834-1","ACT28834-1","1765",3.38905472849038,1.09472959789322,0.0684986807753156,0.782904752121375,"control>transient>paraquat",0.0684986807753156,0.999996586694181
