"","geneID","padj_DESeq2","padj_edgeR","padj_bayseq"
"1","EBG00001118603-1",8.90176238171623e-05,0.000309241915472419,0.00217489457349665
"2","ACT27488-1",0.00633071744456593,0.005677913055858,0.0476286448714997
"3","ACT30692-1",0.0138833093222141,0.00891634196035811,0.0137462569802454
"4","ACT29640-1",0.00345163878487558,0.000435360929240333,0.00623578453938482
"5","ACT31059-1",0.0175025962805443,0.0334699952073852,0.0182093858431188
"6","ACT28354-1",0.0222532758189714,0.0335332556162457,0.0102063001993557
"7","ACT28902-1",0.0365306999649275,0.0201127052507439,0.0148613718321791
"8","ACT28576-1",0.0114276604155883,0.000714453990710489,0.000771161078307436
"9","ACT29468-1",0.0107998033953706,0.00861638340768624,0.0124745395831016
"10","ACT29103-1",0.0156548939570329,0.01700191684036,0.0112080796738074
"11","ACT27381-1",8.90176238171623e-05,0.000368472025551568,0.0275205853556374
"12","ACT28701-1",8.7381615283832e-14,1.98566280574388e-07,7.30599190172931e-05
"13","EBG00001118716-1",2.03475477671639e-07,7.96900855155242e-05,0.00591028856190493
"14","ACT31022-1",0.028479903643898,0.0317009274200064,0.0118537415292581
"15","ACT30639-1",9.66487731303982e-05,0.000216367679876057,0.000117668974369372
"16","ACT30792-1",0.0056419856062591,0.0114393824117144,0.00233629912136812
"17","ACT30629-1",0.0230973700820993,0.040455635399647,0.0115346065722581
"18","ACT29102-1",0.0258502483314642,0.0268143771198168,0.0293058643362771
"19","ACT31026-1",0.00976025924347679,0.0268143771198168,0.00559427670942023
"20","ACT29533-1",0.0238544163778953,0.0294603820658593,0.0445563535644914
"21","ACT27682-1",0.0147986143494307,0.0110102109277971,0.0177841405156588
"22","ACT29812-1",0.0262573795639817,0.00691836826236809,0.0286934508275792
"23","ACT30798-1",0.0483914880159721,0.0161605531724745,0.0242657386988824
"24","ACT28631-1",0.00400651979484847,0.00548820349295219,0.00201113614879488
"25","ACT27789-1",0.000430088427743516,0.00211470676207382,0.000648056477212689
"26","ACT27195-1",0.00966859013101876,0.0266480545795301,0.0156680218193878
"27","ACT31309-1",1.39668976644082e-09,1.33842892014184e-35,6.27295548838447e-09
"28","ACT30215-1",2.70178534310158e-09,1.71304442850432e-19,0.0226060956527013
"29","ACT30005-1",3.33816856887883e-16,1.53357718549057e-23,0.000411295827099021
"30","ACT27481-1",1.65344319104085e-05,1.02480751712042e-07,3.95165321283364e-05
"31","ACT30999-1",0.0211958666116789,2.7613848622148e-06,0.000107603910171845
"32","ACT28260-1",0.0354397357474408,0.00384676968406774,0.0108742002790399
"33","ACT27538-1",0.00946414013765825,0.000874722946215118,0.0053242802372318
"34","ACT30450-1",0.0156548939570329,0.000139179612240664,0.0220438182830251
"35","ACT30449-1",4.50438107425339e-07,8.94278046621209e-10,1.96526530030217e-06
"36","ACT31030-1",1.24380342867814e-10,1.89352160214976e-09,4.91267663216277e-08
"37","ACT27526-1",0.00780013900054556,0.00108773055240062,0.0169555718512232
"38","ACT30415-1",4.33760256217539e-05,5.90022009009186e-05,0.000377913533961589
"39","ACT27802-1",0.00277116511535225,0.00175466630928225,0.00987128135223683
"40","ACT27644-1",0.0200870447040843,0.0235621557256738,0.0209926441828903
"41","ACT28578-1",0.028479903643898,0.013802224800961,0.0264152619426119
"42","ACT27857-1",0.00977218668615003,0.0104167407118563,0.00375555096052296
"43","ACT27466-1",0.000777785627815787,0.00329810139579894,0.00029298178342247
"44","ACT27855-1",0.0135488068609569,0.029305559960216,0.0121660138361248
"45","ACT27938-1",0.0121103217551905,0.0159075883263827,0.0173715447664983
"46","ACT29049-1",0.0132192413348951,0.0345028585001943,0.0215049288293552
"47","ACT27560-1",0.00262708042051036,0.000836845546308864,0.0231629023213764
"48","ACT27505-1",0.000824367213832956,0.000172428365668609,0.000161415122111798
"49","ACT29598-1",0.0249804990484194,0.0065716096637628,0.0131106368444156
"50","ACT28828-1",0.0347021394090976,0.0241560200901868,0.0468495180218369
"51","ACT27168-1",0.0395643156950976,0.0388784600083715,0.0430194218185759
"52","ACT30214-1",0.0341655712340231,0.00346672356997941,0.0105367814597734
"53","ACT27525-1",0.00325375257180204,0.00208132547531528,0.00168438086660199
"54","ACT30349-1",0.00645149638611104,0.00625279808042107,0.00271276808799898
"55","ACT27319-1",0.0101663868863072,0.00807133167545868,0.0200206471599998
"56","ACT31115-1",0.00252925964827295,0.00190609521201525,0.00479617389336895
"57","ACT29611-1",0.00646166720029811,0.000201064756407521,0.0095283880137963
"58","ACT29992-1",0.000325954406491153,0.00108773055240062,0.000706300185414827
"59","ACT27803-1",0.00705793734619219,0.00703995418788158,0.00656162997041055
"60","ACT30853-1",0.0242159759832722,0.0178608064296277,0.00918070564205299
"61","ACT30803-1",0.0055880145608428,0.0016262934762916,0.00120756757238093
"62","ACT29034-1",0.0302838399032055,0.0200974730095837,0.0204941577378727
"63","ACT31040-1",0.0184770465536299,0.0170681179428678,0.00720533742819956
"64","ACT28368-1",0.020241854797521,0.00418996716520402,0.00348243088136526
"65","ACT31210-1",1.62752021375685e-05,4.19859755728706e-06,0.0453271106450222
"66","ACT28367-1",0.0365306999649275,0.00125599526552205,0.042257184377982
"67","ACT27479-1",0.00215037366937673,0.000435360929240333,0.0161022485172497
"68","ACT30977-1",0.00613048811734745,0.00348780551314285,0.00185018553493479
"69","ACT28492-1",0.00118872899224239,6.09153743649458e-05,0.0165310436781727
"70","ACT29530-1",0.0110358540580965,0.00160917217317178,0.0144846186932244
"71","ACT30563-1",0.000332086038184495,0.0010350203174084,0.000544945738111185
"72","ACT30847-1",0.00120872076136236,0.000466962712634296,0.00059694515057418
"73","ACT28181-1",7.34882630370567e-07,4.16192939431849e-06,1.14687716812334e-06
"74","ACT27462-1",0.0068736595798571,0.00409499030679482,0.00322233558101877
"75","ACT31032-1",0.000957149217448881,0.00105641875106328,0.00295391728161628
"76","ACT27150-1",0.00617522382156629,0.00105641875106328,0.0329333718556364
"77","ACT29725-1",0.00079613298282936,0.000352847090370127,0.000344110683987488
"78","ACT29690-1",0.00278279006569714,0.00135866006143594,0.00142015936887011
"79","ACT28011-1",0.0218804114393511,0.00807133167545868,0.0248095743783313
"80","ACT29814-1",0.0108406934866543,0.00231397472744084,0.0152302348598807
"81","ACT28773-1",0.000102360770025595,0.000148887766687008,0.000443230460884573
"82","ACT30848-1",0.0197908483110359,0.00259956121010275,0.0362365214351235
"83","ACT30793-1",0.0184104540005293,0.00442367156940583,0.036977708865689
"84","ACT27206-1",0.00277116511535225,0.00655729467314244,0.00249563345007444
"85","ACT31273-1",0.0095779476340132,0.0145757216434364,0.0311038351715143
"86","ACT29572-1",0.000355552220201491,6.89123619217621e-06,0.000914088666081994
"87","ACT27185-1",5.31059393879351e-06,6.09153743649458e-05,1.3889597976927e-05
"88","ACT30018-1",1.68125362552797e-05,6.53822563496223e-07,8.61029319458148e-05
"89","ACT28330-1",0.00150172211421395,3.99464208402647e-07,0.000204063009494028
"90","ACT27509-1",0.000116952225254926,6.62244883076673e-08,3.01663066017236e-05
"91","ACT28158-1",3.61496136010318e-09,6.09262722954997e-09,3.07178267358044e-06
"92","ACT28818-1",1.40131891907554e-05,6.21820711637136e-07,0.000138367446029063
"93","ACT27305-1",4.2226615536631e-05,3.58212776723442e-07,0.019541536672535
"94","ACT27527-1",7.81382342035321e-05,4.16192939431849e-06,0.0010085322379861
"95","ACT30844-1",0.000139649016914943,3.04793598445945e-08,0.000225346585843167
"96","ACT28975-1",1.72502837393959e-08,3.04793598445945e-08,4.83379770665129e-05
"97","ACT30888-1",0.000102360770025595,7.21318783658498e-05,5.87510261781295e-05
"98","ACT30376-1",0.0055880145608428,0.000299198656628118,0.000249553501180292
"99","ACT30589-1",0.00256305623988562,0.000534756065509482,0.000493722177594268
"100","ACT29864-1",0.0226626483347519,0.00184449371808887,0.0355570860559197
"101","ACT27183-1",1.33196816385569e-12,3.14422166633007e-15,0.00154760052966797
"102","ACT30585-1",3.02875064269555e-09,2.02298764429871e-08,0.0134267276416355
"103","ACT29813-1",1.10928615567143e-05,8.76134301857731e-09,8.32305090033477e-06
"104","ACT27351-1",0.0404772582055024,0.00193035500441583,0.00751957877236619
"105","ACT29951-1",0.0234526401260294,0.00312436766863302,0.0190732390972141
"106","ACT29440-1",0.000264241272202012,3.67458039238197e-05,0.000182675960180473
"107","ACT29438-1",0.00183427369734084,0.000352295895248924,0.00783501009983954
"108","ACT31277-1",0.000375571006425029,9.3123767618264e-07,0.00505024004819534
"109","ACT27508-1",0.000177680761240963,1.33066388505991e-06,9.74302835061428e-05
"110","ACT29272-1",0.00057003117216771,3.22154668638252e-06,0.00084103035711861
"111","ACT28823-1",0.00190175379379355,0.000448236123020159,0.00688235946201806
"112","ACT30286-1",0.0020474050556085,0.00114164689456982,0.00848107566714432
"113","ACT30220-1",0.00791867885755204,0.00745859634373663,0.00816011837316089
"114","ACT30534-1",0.04318046220815,0.0108325460392144,0.00882883412470495
"115","ACT31278-1",5.23322827270222e-05,4.41578917666469e-05,2.22428900083921e-05
"116","ACT30186-1",0.0092482706205573,0.00114164689456982,0.018628126906327
"117","ACT29258-1",0.000956067984443854,6.92906132491789e-05,0.00110924464340767
"118","ACT28861-1",0.0166554062516571,0.00462995904456739,0.0322990847045449
"119","ACT28031-1",0.00182389617587471,2.01614402719067e-05,0.00130711169755621
"120","ACT29664-1",0.0302155941724603,0.00940417118859278,0.0269593061125991
"121","ACT28032-1",0.0354520664381056,0.00257444175288509,0.0335714539575507
"122","ACT29943-1",1.2526132624519e-11,7.14191196870119e-13,0.000272081987315598
"123","ACT30164-1",0.00905001099771414,0.00289830827527605,0.00401955037723352
"124","ACT27902-1",0.0125344657603229,0.0033726542708036,0.0280869526082767
"125","ACT27521-1",1.9883865630352e-06,2.39945939698351e-06,0.000313437959122006
"126","ACT31114-1",1.24584354408909e-05,6.24957250243192e-07,0.00453972057389541
"127","ACT27633-1",3.37280898132736e-05,2.35657393745235e-05,0.00428340558861631
