"","geneID","padj_DESeq2","padj_edgeR","padj_bayseq"
"1","ACT27399-1",7.60872600478514e-05,6.21820711637136e-07,0.899932436385639
"2","ACT31031-1",0.0938013484214152,0.0215337048738758,0.808270902551982
"3","ACT30601-1",0.00057003117216771,0.177164068291726,0.900861268751185
"4","ACT31143-1",9.12806012715615e-12,7.49897664052643e-16,0.320377368503406
"5","ACT27083-1",0.000140362473335279,1.32487949616104e-09,0.89487332236348
"6","ACT27082-1",0.000956067984443854,6.53822563496223e-07,0.899497970802637
"7","ACT27586-1",0.000424340657924664,0.00140558705214503,0.899352335313013
"8","ACT31309-1",1.39668976644082e-09,1.33842892014184e-35,6.27295548838447e-09
"9","ACT30215-1",2.70178534310158e-09,1.71304442850432e-19,0.0226060956527013
"10","ACT28973-1",3.87044876338171e-09,3.47596298136826e-12,0.801455922174808
"11","ACT28154-1",0.00155256956539763,0.136676307180072,0.892512949708611
"12","ACT30447-1",0.358783707006999,0.0365716684695208,0.893758109053333
"13","ACT27632-1",0.00256772820773506,0.00502225716831973,0.900624721514525
"14","ACT30440-1",0.00628831593788934,0.683811322033735,0.900363237173427
"15","ACT29735-1",0.00254332262714492,0.176542074063498,0.900458477949224
"16","ACT29934-1",0.0110358540580965,0.281545510360195,0.900267816839542
"17","ACT29688-1",2.19611333350152e-17,9.37640596861886e-05,0.898222274848287
"18","ACT30879-1",0.00505644794570713,0.754792296300944,0.900837664292146
"19","ACT27480-1",0.17000587115385,0.00440540207101216,0.101854003263538
"20","ACT29529-1",0.0095779476340132,0.397542735258694,0.900814048599788
"21","ACT30842-1",0.0267408604639497,0.860291070216714,0.900695802848208
"22","ACT27519-1",0.0298616911994943,0.373725949488665,0.89908429102094
"23","ACT31030-1",1.24380342867814e-10,1.89352160214976e-09,4.91267663216277e-08
"24","ACT30449-1",4.50438107425339e-07,8.94278046621209e-10,1.96526530030217e-06
"25","ACT31217-1",0.145409051110471,0.0031121601670388,0.411144715898574
"26","ACT30450-1",0.0156548939570329,0.000139179612240664,0.0220438182830251
"27","ACT28260-1",0.0354397357474408,0.00384676968406774,0.0108742002790399
"28","ACT27538-1",0.00946414013765825,0.000874722946215118,0.0053242802372318
"29","ACT28834-1",0.0863572274713614,0.0137763099062717,0.0684986807753156
"30","ACT30999-1",0.0211958666116789,2.7613848622148e-06,0.000107603910171845
"31","ACT30588-1",0.127492489456717,0.00631961409789547,0.645768957189342
"32","ACT29936-1",0.0229018901084516,0.00105641875106328,0.0816939634524733
"33","ACT28434-1",0.113609952927681,0.0145630201078256,0.428662765117852
"34","ACT29706-1",0.304283433096054,0.0128675934534213,0.718272645043798
"35","ACT27389-1",0.34768730411475,0.047183017932046,0.835184808203483
"36","ACT28330-1",0.00150172211421395,3.99464208402647e-07,0.000204063009494028
"37","ACT27526-1",0.00780013900054556,0.00108773055240062,0.0169555718512232
"38","ACT28253-1",0.143786492191344,0.00699385054367605,0.363790253226096
"39","ACT30005-1",3.33816856887883e-16,1.53357718549057e-23,0.000411295827099021
"40","EBG00001118649-1",2.700977664817e-08,6.44139249149207e-10,0.223178430776296
"41","ACT30722-1",2.95949159236334e-07,5.94820970046703e-07,0.650843762313684
"42","ACT28625-1",4.50438107425339e-07,1.40181497788034e-05,0.603223189030483
"43","ACT27356-1",1.1080446841869e-06,0.0407242782684618,0.897873554151856
"44","ACT30606-1",0.000681911821100835,0.641429029502031,0.900719474295116
"45","ACT30765-1",0.0462700874146816,0.731163246022507,0.89871654661877
"46","ACT27391-1",0.0195013294277528,4.16192939431849e-06,0.8318766239957
"47","ACT28622-1",0.297867434269483,0.0226893837948536,0.538980153675085
"48","ACT27481-1",1.65344319104085e-05,1.02480751712042e-07,3.95165321283364e-05
"49","ACT28624-1",0.0243300310681085,0.000509741913451815,0.393539968194284
"50","ACT28033-1",0.397588820661502,0.0031121601670388,0.710809794145951
"51","ACT28534-1",0.000203332231423588,0.0204727482077682,0.898544062910471
"52","ACT28974-1",0.00927008337275724,0.0556914251630667,0.900410879779039
"53","ACT27901-1",0.0118963634117209,0.00807133167545868,0.739010065310629
"54","ACT27369-1",0.0018398231246013,0.411200501816251,0.899908396361027
"55","ACT29012-1",0.000594578146696546,0.0804655584795344,0.899715665889803
"56","ACT28139-1",0.000721757755194818,0.118106249822869,0.900553540963553
"57","ACT31016-1",0.00162238493456738,0.227626672822608,0.899473725181444
