"","geneID","order","baseMean","logFC.Conditionparaquat","logFC.Conditiontransient","logCPM","F","PValue","padj"
"ACT31249-1","ACT31249-1",4135,9.54040171603099,1.75424115394668,0.912602800189576,8.84634595298083,20.5211162713626,1.23223483341367e-09,1.84879233398958e-07
"ACT28701-1","ACT28701-1",1625,0.24310010496198,2.67080117367135,0.567951005213575,7.43353891400593,20.4145356277498,1.37072652622168e-09,1.98566280574388e-07
"ACT27305-1","ACT27305-1",214,3.03715753983399,-1.29307497644243,-0.83441251680294,10.0678218139785,19.7902318056982,2.55805363049352e-09,3.58212776723442e-07
"ACT28330-1","ACT28330-1",1263,1.53898302363527,-1.02853299805357,-0.6920300655804,10.808648737564,19.6483562321462,2.9477244609574e-09,3.99464208402647e-07
"ACT30722-1","ACT30722-1",3601,4.91961738555519,0.834886452102277,0.766639400489821,11.168439746231,19.218206088825,4.53089051213866e-09,5.94820970046703e-07
"ACT27399-1","ACT27399-1",305,2.20096858341008,0.678940573544556,0.248588856198657,13.5469806474749,19.1131262503135,5.03258847790113e-09,6.21820711637136e-07
"ACT28818-1","ACT28818-1",1749,0.291875073436744,-1.27857931992647,-0.426886170105779,10.5688805259759,19.124305923198,4.97667285570691e-09,6.21820711637136e-07
"ACT31114-1","ACT31114-1",3992,0.416633558958923,-1.33227610537265,-0.728489078278504,10.0947230953303,19.0790866536198,5.20673738598232e-09,6.24957250243192e-07
"ACT27082-1","ACT27082-1",1,0.900399700887311,0.67087876632763,0.577506601809123,13.0071809631852,19.0013008807808,5.62765160166367e-09,6.53822563496223e-07
"ACT29105-1","ACT29105-1",2038,0.53162928459137,1.62258523358846,0.944074629020652,8.94208364327571,18.9516189154496,5.91412935321506e-09,6.53822563496223e-07
"ACT30018-1","ACT30018-1",2910,1.46028456993321,-2.41764862281299,-0.79198039939214,8.99160324281221,18.9774589710778,5.76335506590036e-09,6.53822563496223e-07
"ACT31277-1","ACT31277-1",4169,0.177653207853525,-1.54853801957004,-0.782444644502789,9.69010652796588,18.5717388266141,8.64514862440442e-09,9.3123767618264e-07
"ACT27508-1","ACT27508-1",410,0.547320663988733,-1.55772931965369,-0.874802129665432,9.5344649994067,18.1645724532148,1.2986722039385e-08,1.33066388505991e-06
"ACT31049-1","ACT31049-1",3929,0.591666508980404,1.79349146354411,1.16264157654405,8.50525537437735,18.1723778421214,1.28858081622656e-08,1.33066388505991e-06
"ACT27521-1","ACT27521-1",423,0.760031738363173,-1.24203097033814,-0.760920262055216,10.05727792102,17.5505616133338,2.39888823311848e-08,2.39945939698351e-06
"ACT30999-1","ACT30999-1",3859,0.297498036310652,-0.861092034372864,0.300644032760599,10.921842409412,17.3864513248621,2.82645915437363e-08,2.7613848622148e-06
"ACT29272-1","ACT29272-1",2194,3.99256495167625,-1.33939543585181,-0.971542637790019,9.56468405455237,17.2092353010996,3.37415030232876e-08,3.22154668638252e-06
"ACT27391-1","ACT27391-1",297,0.521869680677197,-0.860208750738485,-0.382172592170927,11.7625256095592,16.9018882610111,4.58744988063529e-08,4.16192939431849e-06
"ACT27527-1","ACT27527-1",429,0.166539777717327,-1.42097266110537,-0.147718106067332,10.1772008949268,16.8869858827097,4.65628853922802e-08,4.16192939431849e-06
